2ba013a3f6fa57793c242766e27ec77d001fe03a.flv,2ba013a3f6fa57793c242766e27ec77d001fe03a.flv	(0, 0)(1, 1)(2, 2)(3, 3)(4, 4)(5, 5)(6, 6)(7, 7)(8, 8)(9, 9)(10, 10)(11, 11)(12, 12)(13, 13)(14, 14)(15, 15)(16, 16)(17, 17)(18, 18)(19, 19)(20, 20)(21, 21)(22, 22)(23, 23)(24, 24)(25, 25)(26, 26)(27, 27)(28, 28)(29, 29)(30, 30)(31, 31)(32, 32)(33, 33)(34, 34)(35, 35)(36, 36)(37, 37)(38, 38)(39, 39)(40, 40)(41, 41)(42, 42)(43, 43)(44, 44)(45, 45)(46, 46)(47, 47)(48, 48)(49, 49)(50, 50)(51, 51)(52, 52)(53, 53)(54, 54)(55, 55)(56, 56)(57, 57)(58, 58)(59, 59)(60, 60)(61, 61)(62, 62)(63, 63)(64, 64)(65, 65)(66, 66)(67, 67)(68, 68)(69, 69)(70, 70)(71, 71)(72, 72)(73, 73)(74, 74)(75, 75)(76, 76)
2ba013a3f6fa57793c242766e27ec77d001fe03a.flv,38f11a4162d8e94227ac644f117f942735b9a504.mp4	(0, 1)(2, 3)(3, 5)(5, 6)
2ba013a3f6fa57793c242766e27ec77d001fe03a.flv,38f11a4162d8e94227ac644f117f942735b9a504.mp4	(7, 20)(8, 21)(9, 22)(10, 23)(11, 24)(12, 25)(13, 26)(14, 27)(15, 28)(17, 30)(18, 31)(19, 32)(20, 33)(21, 34)(23, 36)(24, 37)(25, 39)(26, 40)(27, 41)(29, 43)(30, 44)(31, 45)(33, 49)(34, 50)(35, 51)(36, 52)(37, 53)(38, 54)(40, 55)(41, 56)(42, 57)(44, 58)(45, 59)(47, 60)(48, 61)(49, 62)(50, 63)(51, 64)(52, 65)(53, 67)(55, 68)(56, 69)(57, 70)(58, 71)(60, 73)(61, 74)(62, 75)(63, 76)(64, 78)(66, 79)(68, 80)(69, 81)(70, 82)(71, 83)(72, 84)
2ba013a3f6fa57793c242766e27ec77d001fe03a.flv,39c96fc7117a0ff1fdc02637285c13d8efe7ce93.flv	(1, 0)(2, 1)(3, 2)(4, 3)(5, 5)(6, 6)(7, 8)(12, 12)(14, 15)(30, 35)(31, 36)(32, 37)(33, 40)(41, 52)(43, 56)(44, 57)(45, 60)(50, 62)(51, 64)(52, 65)(53, 67)(54, 68)(59, 70)(66, 73)(67, 74)(68, 76)(69, 77)(70, 78)(71, 79)(72, 80)
2ba013a3f6fa57793c242766e27ec77d001fe03a.flv,7caa7fcef0e0b17725a0bda8b101d819e6ca2dbd.flv	(1, 0)(2, 1)(3, 2)(4, 3)(5, 5)(6, 6)(7, 8)(12, 12)(14, 15)(30, 35)(31, 36)(32, 37)(33, 40)(41, 52)(43, 56)(44, 57)(45, 60)(50, 62)(51, 64)(52, 65)(53, 67)(54, 68)(59, 70)(66, 73)(67, 74)(68, 76)(69, 77)(70, 78)(71, 79)(72, 80)
2ba013a3f6fa57793c242766e27ec77d001fe03a.flv,9ac82ed37390f45bdc81b699c53085b29143ee70.flv	(17, 1)(18, 2)(20, 4)(21, 5)(23, 7)(24, 9)(25, 11)(27, 12)(28, 13)(29, 15)(32, 19)(33, 20)(38, 24)(39, 25)(40, 27)(42, 29)(44, 30)(45, 31)(50, 34)(52, 36)(57, 40)(58, 41)(62, 44)(63, 46)(64, 47)(66, 48)(69, 51)(70, 52)
2ba013a3f6fa57793c242766e27ec77d001fe03a.flv,be51784c0b0676bf487376af362b088922efa954.flv	(2, 0)(4, 1)(5, 3)
2ba013a3f6fa57793c242766e27ec77d001fe03a.flv,be51784c0b0676bf487376af362b088922efa954.flv	(7, 17)(8, 18)(9, 19)(11, 21)(12, 22)(13, 23)(15, 26)(17, 27)(18, 28)(19, 29)(20, 30)(21, 31)(23, 34)(24, 36)(25, 37)(27, 39)(28, 41)(29, 42)(30, 43)(31, 44)(33, 48)(34, 49)(36, 50)(41, 56)(42, 57)(43, 58)(44, 59)
2ba013a3f6fa57793c242766e27ec77d001fe03a.flv,bf582249cfc79d691195a8681961029cc5149a76.flv	(27, 2)(28, 3)(29, 4)(30, 5)(31, 6)(32, 7)(33, 9)(35, 10)(36, 12)(39, 14)(40, 15)
2ba013a3f6fa57793c242766e27ec77d001fe03a.flv,d2f4aca96d44a144b12abc300b781b8ff8bb0842.flv	(0, 1)(2, 3)(4, 6)(5, 7)
