242f1fb1c242b8b01b994185c0111d1ca25ee03e.flv,242f1fb1c242b8b01b994185c0111d1ca25ee03e.flv	(0, 0)(1, 1)(2, 2)(3, 3)(4, 4)(5, 5)(6, 6)(7, 7)(8, 8)(9, 9)(10, 10)(11, 11)(12, 12)(13, 13)(14, 14)(15, 15)(16, 16)(17, 17)(18, 18)(19, 19)(20, 20)(21, 21)(22, 22)(23, 23)(24, 24)(25, 25)(26, 26)(27, 27)(28, 28)(29, 29)(30, 30)(31, 31)(32, 32)(33, 33)(34, 34)(35, 35)(36, 36)(37, 37)(38, 38)(39, 39)(40, 40)(41, 41)(42, 42)(43, 43)(44, 44)(45, 45)(46, 46)(47, 47)(48, 48)(49, 49)(50, 50)(51, 51)(52, 52)(53, 53)(54, 54)(55, 55)(56, 56)(57, 57)(58, 58)(59, 59)(60, 60)(61, 61)(62, 62)(63, 63)(64, 64)(65, 65)(66, 66)(67, 67)(68, 68)(69, 69)(70, 70)(71, 71)(72, 72)(73, 73)(74, 74)(75, 75)(76, 76)(77, 77)(78, 78)(79, 79)(80, 80)(81, 81)
242f1fb1c242b8b01b994185c0111d1ca25ee03e.flv,3499b9fd4316131ebf0f5d9bbecf6f3f8600c4fb.flv	(2, 4)
242f1fb1c242b8b01b994185c0111d1ca25ee03e.flv,5b46e9007b0add1d73a11d2f4414efe35b017acb.flv	(0, 2)(2, 3)(3, 4)(4, 5)(6, 7)(7, 8)(8, 9)(9, 10)(10, 11)(15, 17)(16, 18)(19, 19)(20, 21)(23, 24)(24, 25)(25, 26)(26, 27)(27, 28)(28, 30)(29, 31)(30, 32)(31, 33)(32, 34)(33, 35)(34, 36)(36, 37)(38, 41)(39, 42)(42, 44)(43, 45)(44, 47)(45, 48)(46, 49)(47, 50)(48, 51)(53, 55)(55, 56)(56, 57)(57, 58)(58, 61)(60, 62)(61, 63)(62, 64)(63, 65)(64, 66)(65, 67)(66, 68)(67, 69)(68, 70)(69, 71)(70, 72)(71, 73)(72, 74)(73, 75)(74, 77)(75, 78)(76, 79)(77, 80)(80, 86)(81, 87)
242f1fb1c242b8b01b994185c0111d1ca25ee03e.flv,5b90735d0a44043685ced4a784dfd3fc8489317a.mp4	(0, 2)(1, 4)
242f1fb1c242b8b01b994185c0111d1ca25ee03e.flv,5b90735d0a44043685ced4a784dfd3fc8489317a.mp4	(4, 9)(6, 11)(9, 15)(10, 16)(13, 18)(16, 27)(17, 28)(18, 29)(30, 50)(32, 53)(33, 55)(34, 56)(38, 60)(41, 63)(44, 66)(45, 67)(47, 70)(51, 78)(53, 80)(61, 90)(62, 91)(63, 92)(64, 93)(65, 94)(66, 96)(73, 106)(74, 108)(75, 109)(76, 110)(77, 111)
242f1fb1c242b8b01b994185c0111d1ca25ee03e.flv,ef831f0fe7c633be5ed9edd29dd28d6066ea6d88.flv	
242f1fb1c242b8b01b994185c0111d1ca25ee03e.flv,f8b09ea589093ea7fc20cb530963fe610e90fd12.flv	(0, 2)(2, 3)(3, 4)(4, 5)(6, 6)(7, 8)(8, 9)(9, 10)(10, 11)(15, 17)(16, 18)(19, 19)(20, 21)(22, 22)(26, 26)(27, 28)(29, 30)(32, 34)(33, 35)(40, 42)(41, 43)(44, 46)(46, 48)(47, 49)(56, 56)(61, 62)(63, 64)(64, 65)(65, 66)(66, 67)(67, 69)(75, 77)(76, 78)
3499b9fd4316131ebf0f5d9bbecf6f3f8600c4fb.flv,3499b9fd4316131ebf0f5d9bbecf6f3f8600c4fb.flv	(0, 0)(1, 1)(2, 2)(3, 3)(4, 4)
3499b9fd4316131ebf0f5d9bbecf6f3f8600c4fb.flv,60c5b3896a5a75b43ee11719952ebb2a18a20d56.flv	
3499b9fd4316131ebf0f5d9bbecf6f3f8600c4fb.flv,6834f12ea580a4e7309bd8541fb6fbe4daeeda0f.flv	
58e5bb3a6c16fa795310152410de9ecaee19e90f.flv,58e5bb3a6c16fa795310152410de9ecaee19e90f.flv	(0, 0)(1, 1)(2, 2)(3, 3)(4, 4)(5, 5)(6, 6)(7, 7)(8, 8)(9, 9)(10, 10)(11, 11)(12, 12)(13, 13)(14, 14)(15, 15)(16, 16)(17, 17)(18, 18)(19, 19)(20, 20)(21, 21)(22, 22)(23, 23)(24, 24)(25, 25)(26, 26)(27, 27)(28, 28)(29, 29)(30, 30)(31, 31)(32, 32)(33, 33)(34, 34)(35, 35)(36, 36)(37, 37)(38, 38)(39, 39)(40, 40)(41, 41)(42, 42)(43, 43)(44, 44)(45, 45)(46, 46)(47, 47)(48, 48)(49, 49)(50, 50)(51, 51)(52, 52)(53, 53)(54, 54)(55, 55)(56, 56)(57, 57)(58, 58)(59, 59)(60, 60)(61, 61)(62, 62)(63, 63)(64, 64)(65, 65)(66, 66)(67, 67)(68, 68)(69, 69)(70, 70)(71, 71)(72, 72)(73, 73)(74, 74)(75, 75)(76, 76)(77, 77)(78, 78)(79, 79)
58e5bb3a6c16fa795310152410de9ecaee19e90f.flv,621e548a6730fef0d8e3ff041c751881a9432af4.flv	(0, 0)(1, 1)(2, 2)(3, 3)(4, 4)(5, 5)(6, 6)(7, 7)(8, 8)(9, 9)(10, 10)(11, 11)(12, 12)(13, 13)(14, 14)(15, 15)(16, 16)(17, 16)(18, 17)(19, 18)(20, 19)(21, 20)(22, 21)(27, 23)(28, 24)(29, 25)(41, 28)(42, 29)(43, 30)(44, 31)(45, 32)(46, 33)(47, 34)(48, 35)(49, 36)(50, 37)(51, 38)(58, 40)(59, 41)(60, 42)(61, 43)(63, 44)(67, 45)(68, 46)(70, 48)(71, 49)(72, 50)(75, 51)(77, 52)(78, 53)(79, 54)
58e5bb3a6c16fa795310152410de9ecaee19e90f.flv,875ea06d092a04ffd4e875e1f311e6aa2eb9ff87.flv	(0, 0)(1, 1)(2, 2)(3, 3)(4, 4)(5, 5)(6, 6)(7, 7)(8, 8)(9, 9)(10, 10)(11, 11)(12, 12)(13, 13)(15, 15)(16, 16)(17, 17)(18, 18)(19, 19)(20, 20)(21, 21)(22, 22)(23, 23)(24, 24)(25, 25)(26, 26)(27, 27)(28, 28)(29, 29)(30, 30)(31, 32)(32, 33)(33, 34)(34, 35)(35, 37)(36, 38)(37, 38)(42, 43)(43, 45)(44, 46)(45, 47)(46, 48)(47, 49)(48, 50)(49, 51)(50, 52)(51, 53)(52, 54)(53, 55)(54, 56)(55, 57)(56, 58)(57, 59)(58, 60)(59, 61)(60, 62)(61, 63)(62, 64)(63, 66)(64, 67)(65, 69)(66, 70)(67, 71)(68, 72)(69, 73)(70, 75)(71, 76)(72, 77)(74, 80)(75, 81)(76, 82)(77, 83)(78, 84)(79, 85)
58e5bb3a6c16fa795310152410de9ecaee19e90f.flv,f13e7eb9b90b57b1613daa44c15a50fdef456176.flv	(0, 1)(1, 2)(2, 3)(3, 4)(4, 5)(5, 6)(6, 7)(7, 8)(8, 9)(9, 10)(10, 11)(11, 12)(12, 13)(13, 14)(14, 15)(15, 16)(16, 17)(17, 17)(18, 18)(19, 19)(20, 20)(21, 21)(22, 22)(27, 24)(28, 25)(29, 26)(41, 29)(42, 30)(43, 31)(46, 32)(47, 33)(48, 34)(49, 35)(50, 36)(51, 37)(55, 39)(58, 40)(59, 41)(60, 42)(61, 43)(63, 44)(67, 45)(70, 47)(71, 48)(72, 49)(75, 50)(77, 51)(78, 52)(79, 53)
5b46e9007b0add1d73a11d2f4414efe35b017acb.flv,5b46e9007b0add1d73a11d2f4414efe35b017acb.flv	(0, 0)(1, 1)(2, 2)(3, 3)(4, 4)(5, 5)(6, 6)(7, 7)(8, 8)(9, 9)(10, 10)(11, 11)(12, 12)(13, 13)(14, 14)(15, 15)(16, 16)(17, 17)(18, 18)(19, 19)(20, 20)(21, 21)(22, 22)(23, 23)(24, 24)(25, 25)(26, 26)(27, 27)(28, 28)(29, 29)(30, 30)(31, 31)(32, 32)(33, 33)(34, 34)(35, 35)(36, 36)(37, 37)(38, 38)(39, 39)(40, 40)(41, 41)(42, 42)(43, 43)(44, 44)(45, 45)(46, 46)(47, 47)(48, 48)(49, 49)(50, 50)(51, 51)(52, 52)(53, 53)(54, 54)(55, 55)(56, 56)(57, 57)(58, 58)(59, 59)(60, 60)(61, 61)(62, 62)(63, 63)(64, 64)(65, 65)(66, 66)(67, 67)(68, 68)(69, 69)(70, 70)(71, 71)(72, 72)(73, 73)(74, 74)(75, 75)(76, 76)(77, 77)(78, 78)(79, 79)(80, 80)(81, 81)(82, 82)(83, 83)(84, 84)(85, 85)(86, 86)(87, 87)
5b46e9007b0add1d73a11d2f4414efe35b017acb.flv,5b90735d0a44043685ced4a784dfd3fc8489317a.mp4	(1, 1)(2, 2)(3, 4)
5b46e9007b0add1d73a11d2f4414efe35b017acb.flv,5b90735d0a44043685ced4a784dfd3fc8489317a.mp4	(10, 15)(11, 16)(12, 17)(13, 19)(14, 20)(15, 21)(18, 27)(19, 32)(20, 34)(23, 39)(25, 41)(28, 45)(29, 47)(30, 48)(31, 49)(32, 50)(34, 53)(35, 55)(36, 56)(37, 57)(40, 59)(41, 60)(46, 65)(47, 66)(49, 69)(50, 70)(55, 80)(56, 81)(59, 83)(60, 85)(62, 89)(63, 90)(64, 91)(65, 92)(66, 93)(68, 96)(77, 108)(78, 109)(79, 110)(80, 111)(84, 115)(85, 116)
5b46e9007b0add1d73a11d2f4414efe35b017acb.flv,ef831f0fe7c633be5ed9edd29dd28d6066ea6d88.flv	(1, 1)
